,smiles,prop,SET,data
0,<delaney>|CC(C)(C)CCO,-0.5,train,delaney
1,<delaney>|CN(C)C(=O)NC1CCCCCCC1,-2.218,train,delaney
2,<delaney>|Cc1cncc(C)c1,0.38,train,delaney
3,<delaney>|Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,-3.083,train,delaney
4,<delaney>|CNc1ccccc1,-1.28,train,delaney
5,<delaney>|c1cC2C(=O)NC(=O)C2cc1,-2.932,train,delaney
6,<delaney>|Fc1ccc(F)cc1,-1.97,train,delaney
7,<delaney>|CC(C)(C)c1ccc(O)cc1,-2.41,train,delaney
8,<delaney>|Oc1ccc(Cl)c(Cl)c1Cl,-2.67,train,delaney
9,<delaney>|CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,train,delaney
10,<delaney>|OC(C(=O)c1ccccc1)c2ccccc2,-2.85,train,delaney
11,<delaney>|O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002,train,delaney
12,<delaney>|CC(C)COC(=O)C,-1.21,train,delaney
13,<delaney>|COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,-0.742,train,delaney
14,<delaney>|Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,train,delaney
15,<delaney>|Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46,train,delaney
16,<delaney>|CCCCCC(=O)OC,-1.87,train,delaney
17,<delaney>|Oc1ccc(C=O)cc1,-0.96,train,delaney
18,<delaney>|OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-5.46,train,delaney
19,<delaney>|O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,train,delaney
20,<delaney>|c1nccc(C(=O)NN)c1,0.009,train,delaney
21,<delaney>|C1OC(O)C(O)C(O)C1O,0.39,train,delaney
22,<delaney>|Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,train,delaney
23,<delaney>|C1SC(=S)NC1(=O),-1.77,train,delaney
24,<delaney>|CC1CCCCC1,-3.85,train,delaney
25,<delaney>|CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,train,delaney
26,<delaney>|CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,train,delaney
27,<delaney>|Oc1ccc(Cl)cc1Cl,-1.55,train,delaney
28,<delaney>|Oc1cc(Cl)cc(Cl)c1Cl,-2.67,train,delaney
29,<delaney>|CCBr,-1.09,train,delaney
30,<delaney>|ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,-4.19,train,delaney
31,<delaney>|Clc1cccc2ccccc12,-3.93,train,delaney
32,<delaney>|Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82,train,delaney
33,<delaney>|Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,train,delaney
34,<delaney>|OCC1OC(O)C(O)C(O)C1O,0.74,train,delaney
35,<delaney>|Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004,train,delaney
36,<delaney>|CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,train,delaney
37,<delaney>|CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-5.292999999999999,train,delaney
38,<delaney>|CCN2c1ncccc1N(CC)C(=O)c3cccnc23,-2.86,train,delaney
39,<delaney>|CCc1ccccn1,0.51,train,delaney
40,<delaney>|CC,-1.36,train,delaney
41,<delaney>|CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27,train,delaney
42,<delaney>|c1ccc2c(c1)ccc3ccccc32,-5.26,train,delaney
43,<delaney>|ClC=C(Cl)Cl,-1.96,train,delaney
44,<delaney>|CCCCCCCCCCO,-3.63,train,delaney
45,<delaney>|CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,train,delaney
46,<delaney>|c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,train,delaney
47,<delaney>|CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O,-2.3,train,delaney
48,<delaney>|CCCCC(C)(C)O,-1.08,train,delaney
49,<delaney>|Cc2ncc1nccnc1n2,-0.12,train,delaney
50,<delaney>|CCCCCCC(=O)C,-2.05,train,delaney
51,<delaney>|CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005,train,delaney
52,<delaney>|COC(=O)c1ccccc1,-1.85,train,delaney
53,<delaney>|CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,train,delaney
54,<delaney>|c2ccc1[nH]ccc1c2,-1.52,train,delaney
55,<delaney>|Cn1cnc2n(C)c(=O)[nH]c(=O)c12,-2.523,train,delaney
56,<delaney>|CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43,train,delaney
57,<delaney>|CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877,train,delaney
58,<delaney>|CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,train,delaney
59,<delaney>|CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09,train,delaney
60,<delaney>|O=C2NC(=O)C1(CCCC1)C(=O)N2,-2.349,train,delaney
61,<delaney>|Fc1cccc(F)c1,-2.0,train,delaney
62,<delaney>|Nc1c(C)c[nH]c(=O)n1,-1.4580000000000002,train,delaney
63,<delaney>|CCSCC,-1.34,train,delaney
64,<delaney>|Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl,-8.71,train,delaney
65,<delaney>|O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071000000000001,train,delaney
66,<delaney>|CCCC(O)C=C,-0.59,train,delaney
67,<delaney>|COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522,train,delaney
68,<delaney>|CCCCC(CC)CO,-2.11,train,delaney
69,<delaney>|CCN(CC)C(=S)SCC(Cl)=C,-3.39,train,delaney
70,<delaney>|CCCC(O)CCC,-1.4,train,delaney
71,<delaney>|c1ccccc1SC,-2.39,train,delaney
72,<delaney>|Brc1ccc(I)cc1,-4.56,train,delaney
73,<delaney>|CCCCCCO,-1.24,train,delaney
