,smiles,prop,SET,data
0,<freesolv>|c1cc(cc(c1)Cl)O,-6.62,train,freesolv
1,<freesolv>|C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78,train,freesolv
2,<freesolv>|C[C@H]1CC[C@@H](O1)C,-2.92,train,freesolv
3,<freesolv>|c1cc(c(cc1O)Cl)Cl,-7.29,train,freesolv
4,<freesolv>|c1cc(ccc1Cl)Cl,-1.01,train,freesolv
5,<freesolv>|CCCCOCCO,-6.25,train,freesolv
6,<freesolv>|CC1CCCCC1,1.7,train,freesolv
7,<freesolv>|CCCC(=O)OCCC,-2.28,train,freesolv
8,<freesolv>|CC(C)CO,-4.5,train,freesolv
9,<freesolv>|COC(=O)CC#N,-6.72,train,freesolv
10,<freesolv>|c1cc(ccc1C#N)O,-10.17,train,freesolv
11,<freesolv>|c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56,train,freesolv
12,<freesolv>|CC(=C)C,1.16,train,freesolv
13,<freesolv>|C[C@@H](CCl)Cl,-1.27,train,freesolv
14,<freesolv>|CCOC=O,-2.56,train,freesolv
15,<freesolv>|Cc1ccccc1C,-0.9,train,freesolv
16,<freesolv>|CCCCC(=O)CCCC,-2.64,train,freesolv
17,<freesolv>|CC/C=C\C,1.31,train,freesolv
18,<freesolv>|CC(F)F,-0.11,train,freesolv
19,<freesolv>|CN(C)C(=O)c1ccccc1,-9.29,train,freesolv
20,<freesolv>|CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,train,freesolv
21,<freesolv>|c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53,train,freesolv
22,<freesolv>|COS(=O)(=O)OC,-5.1,train,freesolv
23,<freesolv>|c1ccncc1,-4.69,train,freesolv
24,<freesolv>|COC(=O)c1ccc(cc1)O,-9.51,train,freesolv
25,<freesolv>|CCBr,-0.74,train,freesolv
26,<freesolv>|CCCCCCCCC,3.13,train,freesolv
27,<freesolv>|CCCCC(=O)O,-6.16,train,freesolv
28,<freesolv>|CCCCCC(=O)N,-9.31,train,freesolv
29,<freesolv>|COc1ccccc1N,-6.12,train,freesolv
30,<freesolv>|CSC,-1.61,train,freesolv
31,<freesolv>|CCCCBr,-0.4,train,freesolv
32,<freesolv>|CC(C)(C)Br,0.84,train,freesolv
33,<freesolv>|Cc1ccc(c2c1cccc2)C,-2.82,train,freesolv
34,<freesolv>|CC(C)CCOC(=O)C,-2.21,train,freesolv
35,<freesolv>|CC(C)Cc1ccccc1,0.16,train,freesolv
36,<freesolv>|CC(=C)C(=C)C,0.4,train,freesolv
37,<freesolv>|C(F)Cl,-0.77,train,freesolv
38,<freesolv>|c1ccc(cc1)I,-1.74,train,freesolv
39,<freesolv>|CCCCC/C=C/C=O,-3.43,train,freesolv
40,<freesolv>|CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73,train,freesolv
41,<freesolv>|C(=C(F)F)(C(F)(F)F)F,2.93,train,freesolv
42,<freesolv>|C1CCC(=O)CC1,-4.91,train,freesolv
43,<freesolv>|CC(=CCC/C(=C/CO)/C)C,-4.45,train,freesolv
44,<freesolv>|CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21,train,freesolv
45,<freesolv>|CCCCCCCCCCO,-3.64,train,freesolv
46,<freesolv>|CCSCC,-1.46,train,freesolv
47,<freesolv>|C[C@H](CC(C)C)O,-3.73,train,freesolv
48,<freesolv>|CC(=O)OC,-3.13,train,freesolv
49,<freesolv>|C1COCCN1,-7.17,train,freesolv
50,<freesolv>|c1ccc(c(c1)O)I,-6.2,train,freesolv
51,<freesolv>|CC(C)I,-0.46,train,freesolv
52,<freesolv>|Cc1cccc(n1)C,-4.59,train,freesolv
53,<freesolv>|c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85,train,freesolv
54,<freesolv>|CC(C)NC(C)C,-3.22,train,freesolv
55,<freesolv>|c1ccc(cc1)CCl,-1.93,train,freesolv
56,<freesolv>|COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,train,freesolv
57,<freesolv>|Cc1cccnc1,-4.77,train,freesolv
58,<freesolv>|c1ccc2cc(ccc2c1)N,-7.47,train,freesolv
59,<freesolv>|CC(=O)c1ccncc1,-7.62,train,freesolv
60,<freesolv>|c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,train,freesolv
61,<freesolv>|Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,train,freesolv
62,<freesolv>|CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,train,freesolv
63,<freesolv>|C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,train,freesolv
64,<freesolv>|CC(Cl)(Cl)Cl,-0.19,train,freesolv
65,<freesolv>|C1CCC(=O)C1,-4.7,train,freesolv
66,<freesolv>|CCC/C=C/C=O,-3.68,train,freesolv
67,<freesolv>|c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,train,freesolv
68,<freesolv>|c1ccc2c(c1)cccc2O,-7.67,train,freesolv
69,<freesolv>|COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86,train,freesolv
70,<freesolv>|C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2,train,freesolv
71,<freesolv>|CC(C)c1ccccc1,-0.3,train,freesolv
72,<freesolv>|C=CCCC=C,1.01,train,freesolv
