,smiles,prop,SET,data
0,<lipo>|C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)C)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14,2.65,train,lipo
1,<lipo>|COC(=O)CCCCCCC(=O)Nc1ccc2C(=O)C(=O)c3ccccc3c2c1,2.6,train,lipo
2,<lipo>|NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(sc13)c4ccc(Cl)cc4,2.78,train,lipo
3,<lipo>|Cc1c(Sc2ccc(Cl)cc2)c3c(cccc3n1CC(=O)O)S(=O)(=O)C,0.58,train,lipo
4,<lipo>|Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8[C@@H]9Oc%10c(O)ccc%11C[C@H]%12N(CC%13CC%13)CC[C@@]9(c%10%11)[C@@]%12(O)Cc8c7C[C@@]36O,1.41,train,lipo
5,<lipo>|CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.34,train,lipo
6,<lipo>|Brc1cc(Br)cc(COC[C@@H](N2CCNCC2)c3ccccc3)c1,2.8,train,lipo
7,<lipo>|[O-]c1c2c(nn1c3ccc(Cl)cc3)c4ccccc4c[n+]2Cc5ccccc5,4.5,train,lipo
8,<lipo>|OC(=O)[C@H](Cc1ccc(NC(=O)Cc2ccc3CCCNc3n2)cc1)NC(=O)c4c(Cl)cccc4Cl,-0.63,train,lipo
9,<lipo>|COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O,-0.82,train,lipo
10,<lipo>|Cc1cccc(n1)C#Cc2ccccc2,3.6,train,lipo
11,<lipo>|C[C@@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N,3.1,train,lipo
12,<lipo>|CCCS(=O)(=O)N1N=Cc2cc(Cl)ccc2B1O,-0.4,train,lipo
