,ID1,ID2,Similarity,comp1,comp2,prop
0,0,779,0.475,Cc1cc(C)cc(O)c1,CNC(=O)Oc1cc(C)cc(C)c1,1.1810000000000005
1,1,503,0.6111111111111112,CCCOC,CCCCOC,0.6
2,2,411,1.0,Brc1ccc2ccccc2c1,c1c(Br)ccc2ccccc12,0.0
3,3,452,0.6170212765957447,CSc1nc(nc(n1)N(C)C)N(C)C,CN(C)c1nc(nc(n1)N(C)C)N(C)C,0.6879999999999997
4,4,72,0.6363636363636364,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,c1ccc2c(c1)c3cccc4cccc2c34,-2.0
5,5,869,0.5818181818181818,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-0.03200000000000092
6,6,679,0.6428571428571429,CC1=C(CCCO1)C(=O)Nc2ccccc2,CC1=C(SCCO1)C(=O)Nc2ccccc2,0.5800000000000001
7,7,25,0.6363636363636364,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-0.0699999999999994
8,8,815,0.5818181818181818,Nc1ccc(cc1)c2ccc(N)cc2,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,0.3939999999999997
9,9,573,0.3563218390804598,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-1.6669999999999998
10,10,377,0.8513513513513513,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,0.18599999999999994
11,11,376,0.6197183098591549,CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,2.9899999999999998
12,12,257,0.6097560975609756,NC(=N)NS(=O)(=O)c1ccc(N)cc1,Nc1ccc(cc1)S(N)(=O)=O,-0.6499999999999999
13,13,172,0.5,CCCC(O)CCC,CCCCC(O)CC,0.07000000000000006
14,14,631,0.6619718309859155,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,1.33
15,15,898,0.4827586206896552,C=Cc1ccccc1,Sc1ccccc1,-0.6999999999999997
16,16,790,0.5789473684210527,CC(C)(C)CO,CC(C)(C)CCO,0.09999999999999998
17,17,644,0.22123893805309736,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O,COc2c1occc1c(OC)c3c(=O)cc(C)oc23,-0.6169999999999995
18,18,252,0.8461538461538461,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-0.29000000000000004
19,19,669,0.6842105263157895,Ic1cccc2ccccc12,Nc1cccc2ccccc12,-2.63
20,20,214,0.723404255319149,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,0.3740000000000001
21,21,351,0.625,CCCC(=O)CCC,CCCC(=O)CC,-0.4700000000000001
22,22,73,0.875,C1CCCCCC1,C1CCCCCCC1,0.6400000000000006
23,23,91,0.8846153846153846,OC1CCCCCCC1,OC1CCCCCC1,-0.41000000000000003
24,24,103,0.5675675675675675,CC(C)=CCCC(C)=CC(=O),CC(C)=CCC/C(C)=C\CO,0.3999999999999999
25,25,893,0.6491228070175439,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl,1.3900000000000006
26,26,319,0.3770491803278688,CN(C)C(=O)NC1CC2CC1C3CCCC23,CN(C)C(=O)NC1CCCCCCC1,-0.9530000000000003
27,27,125,0.5882352941176471,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,CCNc1nc(Cl)nc(NC(C)C)n1,0.7000000000000002
28,28,580,0.4084507042253521,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c3ccccc13,0.16000000000000014
29,29,376,1.0,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,0.0
30,30,102,0.8,CCCCCC(=O)OC,CCCCCCCC(=O)OC,1.2999999999999998
31,31,94,0.5769230769230769,Clc1ccc(cc1)c2ccc(Cl)cc2,Clc1ccc(cc1)c2cc(Cl)ccc2Cl,-0.3099999999999996
32,32,265,0.6851851851851852,CCNc1nc(NC(C)C)nc(SC)n1,COCCCNc1nc(NC(C)C)nc(SC)n1,-0.1120000000000001
33,33,618,0.5,ClCCBr,ClCBr,-0.43000000000000005
34,34,758,0.6363636363636364,Cc1cccc(c1)N(=O)=O,Nc1cccc(c1)N(=O)=O,-0.25
35,35,898,0.5384615384615384,Nc1ccccc1,Sc1ccccc1,1.7100000000000002
36,36,573,0.6296296296296297,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,COP(=S)(OC)Oc1ccc(SC)c(C)c1,0.5300000000000002
37,37,366,0.6610169491525424,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,1.5199999999999996
38,38,322,0.23741007194244604,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-1.295
39,39,246,0.31958762886597936,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,0.19199999999999973
40,40,87,0.6857142857142857,CCOC(=O)c1ccccc1,COC(=O)c1ccccc1,-0.46999999999999975
41,41,281,0.5,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,1.1109999999999998
42,42,885,0.38461538461538464,c2ccc1[nH]nnc1c2,c2ccc1ocnc1c2,0.3799999999999999
43,43,756,0.5652173913043478,c1ccc2ccccc2c1,c3ccc2nc1ccccc1cc2c3,0.06999999999999984
44,44,601,0.8636363636363636,CCCCCCCO,CCCCCCO,-0.5700000000000001
45,45,431,0.8636363636363636,CCCCCCCl,CCCCCCCCl,0.8799999999999999
46,46,558,0.45614035087719296,c1ccccc1n2ncc(N)c(Br)c2(=O),Cc2c(N)c(=O)n(c1ccccc1)n2C,-2.5029999999999997
47,47,394,0.6363636363636364,Oc1ccccc1N(=O)=O,Nc1ccccc1N(=O)=O,0.21999999999999997
48,48,883,0.5714285714285714,Cc1ccccc1O,Cc1ccccc1Br,1.6099999999999999
49,49,821,0.7391304347826086,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,0.28199999999999914
50,50,273,1.0,CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,0.10000000000000009
51,51,701,0.5294117647058824,CCCC(=C)C,CCC(=C)C,-0.2999999999999998
52,52,520,0.6785714285714286,O=C1NC(=O)C(=O)N1,O=C1NC(=O)C(=O)C(=O)N1,0.85
53,53,196,0.5135135135135135,O=N(=O)c1cc(Cl)c(Cl)cc1,Clc1cccc(c1)N(=O)=O,-0.43000000000000016
54,54,755,0.48717948717948717,CC1(C)C2CCC1(C)C(=O)C2,CC2(C)C1CCC(C)(C1)C2=O,-0.10999999999999988
55,55,693,0.6363636363636364,c1cc2ccc3cccc4ccc(c1)c2c34,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,2.5229999999999997
56,56,93,0.330188679245283,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,1.2679999999999998
57,57,841,0.4666666666666667,CC(Cl)CCl,ClCC(C)C,0.3999999999999999
58,58,637,0.7313432835820896,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-0.34799999999999986
59,59,422,0.8333333333333334,C1CCCC1,C1CCCCC1,0.45999999999999996
60,60,639,0.3484848484848485,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,CC2=CC(=O)c1ccccc1C2=O,0.35399999999999965
61,61,321,0.7636363636363637,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,0.04700000000000015
62,62,307,0.46153846153846156,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,0.5
63,63,249,0.8292682926829268,CCCOC(=O)c1ccc(N)cc1,CCCCOC(=O)c1ccc(N)cc1,0.6299999999999999
64,64,126,0.5555555555555556,CN(C)c1ccccc1,CCN(CC)c1ccccc1,1.1099999999999999
65,65,721,0.6428571428571429,CN(C)C(=O)C(c1ccccc1)c2ccccc2,c1ccccc1C(O)c2ccccc2,-0.43000000000000016
66,66,863,0.6388888888888888,COc1ccc(C=O)cc1,COc1ccc(C=CC)cc1,1.64
67,67,441,0.5135135135135135,c1(OC)ccc(CC=C)cc1,COc1ccc(Cl)cc1,-0.14000000000000012
68,68,332,0.6176470588235294,OCCOc1ccccc1,CCOc1ccccc1,1.6300000000000001
69,69,181,0.9142857142857143,CCCCCc1ccccc1,CCCCCCc1ccccc1,0.5700000000000003
70,70,640,0.5757575757575758,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,0.009999999999999787
71,71,376,0.4069767441860465,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,1.1070000000000002
72,72,580,0.5161290322580645,c1ccc2c(c1)c3cccc4cccc2c34,O=C1c2ccccc2C(=O)c3ccccc13,-0.8099999999999996
73,73,422,0.75,C1CCCCCCC1,C1CCCCC1,-1.0500000000000003
