,ID1,ID2,Similarity,comp1,comp2,comprop1,comprop2,prop,SET,data
0,0,838,0.6363636363636364,<delaney>|Nc1cccc(c1)N(=O)=O,<delaney>|Cc1cccc(c1)N(=O)=O,-2.19,-2.44,0.25,train,delaney
1,1,842,0.6842105263157895,<delaney>|Oc1cccc2ccccc12,<delaney>|Ic1cccc2ccccc12,-2.22,-4.55,2.3299999999999996,train,delaney
2,2,421,0.6170212765957447,<delaney>|CSc1nc(nc(n1)N(C)C)N(C)C,<delaney>|CN(C)c1nc(nc(n1)N(C)C)N(C)C,-2.676,-3.364,0.6879999999999997,train,delaney
3,3,16,0.74,<delaney>|c1ccccc1C(O)C(O)c2ccccc2,<delaney>|c1ccccc1C(O)c2ccccc2,-1.93,-2.55,0.6199999999999999,train,delaney
4,4,673,0.5161290322580645,<delaney>|O=C1c2ccccc2C(=O)c3ccccc13,<delaney>|c1ccc2c(c1)c3cccc4cccc2c34,-5.19,-6.0,0.8099999999999996,train,delaney
5,5,466,0.6428571428571429,<delaney>|CC1=C(SCCO1)C(=O)Nc2ccccc2,<delaney>|CC1=C(CCCO1)C(=O)Nc2ccccc2,-3.14,-2.56,-0.5800000000000001,train,delaney
6,6,567,0.639344262295082,<delaney>|ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,<delaney>|ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.51,-7.2,0.6900000000000004,train,delaney
7,7,854,0.5,<delaney>|CC(C)C,<delaney>|CC(C)C(C)C,-2.55,-3.65,1.1,train,delaney
8,8,683,0.5714285714285714,<delaney>|Cc1ccccc1O,<delaney>|Cc1ccccc1C,-0.62,-2.8,2.1799999999999997,train,delaney
9,9,880,0.6,<delaney>|O=N(=O)c1cccc(c1)N(=O)=O,<delaney>|O=N(=O)c1ccc(cc1)N(=O)=O,-2.29,-3.39,1.1,train,delaney
10,10,231,0.23809523809523808,<delaney>|O=N(=O)OCC(CON(=O)=O)ON(=O)=O,<delaney>|O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.22,-2.89,0.6699999999999999,train,delaney
11,11,564,0.6610169491525424,<delaney>|CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O,<delaney>|CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-2.3,-4.66,2.3600000000000003,train,delaney
12,12,724,0.6938775510204082,<delaney>|CC(C)Nc1nc(Cl)nc(NC(C)C)n1,<delaney>|CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.43,-4.1,-0.33000000000000007,train,delaney
13,13,623,0.38461538461538464,<delaney>|ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,<delaney>|CC2=CC(=O)c1ccccc1C2=O,-5.03,-3.03,-2.0000000000000004,train,delaney
14,14,27,0.5238095238095238,<delaney>|OCCCC=C,<delaney>|CCCCC=C,-0.15,-3.23,3.08,train,delaney
15,15,154,0.5,<delaney>|C/C1CCCCC1\C,<delaney>|CC1CCCC1,-4.3,-3.3,-1.0,train,delaney
16,16,888,0.6428571428571429,<delaney>|c1ccccc1C(O)c2ccccc2,<delaney>|CN(C)C(=O)C(c1ccccc1)c2ccccc2,-2.55,-2.98,0.43000000000000016,train,delaney
17,17,491,0.75,<delaney>|CCCCCC=O,<delaney>|CCCCC=O,-1.3,-0.85,-0.45000000000000007,train,delaney
18,18,727,0.52,<delaney>|CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,<delaney>|CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.24,-5.282,0.041999999999999815,train,delaney
19,19,664,0.8484848484848485,<delaney>|CCCCCc1ccccc1,<delaney>|CCCCc1ccccc1,-4.64,-4.06,-0.5800000000000001,train,delaney
20,20,166,0.65,<delaney>|CC(C)CCO,<delaney>|CC(C)CCCO,-0.51,-1.14,0.6299999999999999,train,delaney
21,21,339,0.8636363636363636,<delaney>|CCCCCCCl,<delaney>|CCCCCCCCl,-3.12,-4.0,0.8799999999999999,train,delaney
22,22,192,0.8831168831168831,<delaney>|O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,<delaney>|O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907,-5.071000000000001,0.1640000000000006,train,delaney
23,23,793,0.5714285714285714,<delaney>|Nc1ccccc1O,<delaney>|Nc1ccccc1Cl,-0.72,-1.52,0.8,train,delaney
24,24,765,0.5824175824175825,<delaney>|CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,<delaney>|CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.43,-3.11,-0.3200000000000003,train,delaney
25,25,842,0.6842105263157895,<delaney>|Clc1cccc2ccccc12,<delaney>|Ic1cccc2ccccc12,-3.93,-4.55,0.6199999999999997,train,delaney
26,26,828,0.5,<delaney>|CCC(=O)OC,<delaney>|CCCCC(=O)OC,-0.14,-1.34,1.2000000000000002,train,delaney
27,27,545,0.75,<delaney>|CCCCC=C,<delaney>|CCCCCC=C,-3.23,-3.73,0.5,train,delaney
28,28,404,0.6666666666666666,<delaney>|O=C1NC(=O)NC(=O)C1(C)CC=C,<delaney>|O=C1NC(=O)NC(=O)C1(C)CC,-1.16,-1.228,0.06800000000000006,train,delaney
29,29,425,0.5,<delaney>|CCCCC(CC)C=O,<delaney>|CCCCC(O)CC,-2.13,-1.47,-0.6599999999999999,train,delaney
30,30,879,0.2777777777777778,<delaney>|NC(N)=NC#N,<delaney>|NC(=S)N,-0.31,0.32,-0.63,train,delaney
31,31,375,0.8484848484848485,<delaney>|O=C2NC(=O)C1(CC1)C(=O)N2,<delaney>|O=C2NC(=O)C1(CCC1)C(=O)N2,-1.886,-1.655,-0.23099999999999987,train,delaney
32,32,367,0.3770491803278688,<delaney>|CN(C)C(=O)NC1CC2CC1C3CCCC23,<delaney>|CN(C)C(=O)NC1CCCCCCC1,-3.1710000000000003,-2.218,-0.9530000000000003,train,delaney
33,33,859,0.44871794871794873,<delaney>|CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,<delaney>|CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.78,-3.29,-0.48999999999999977,train,delaney
34,34,144,0.8,<delaney>|CCN2c1ncccc1N(C)C(=O)c3cccnc23,<delaney>|CCN2c1ncccc1N(C)C(=S)c3cccnc23,-2.62,-4.634,2.0140000000000002,train,delaney
35,35,892,0.5714285714285714,<delaney>|Clc1ccc(Cl)cc1,<delaney>|Clc1ccc(I)cc1,-3.27,-4.03,0.7600000000000002,train,delaney
36,36,901,0.5263157894736842,<delaney>|CCOCC,<delaney>|CCCOCC,-0.09,-0.66,0.5700000000000001,train,delaney
37,37,257,0.6923076923076923,<delaney>|Nc3cc2c1ccccc1ccc2c4ccccc34,<delaney>|c1ccc2c(c1)ccc3c4ccccc4ccc23,-6.2,-8.057,1.8570000000000002,train,delaney
38,38,488,0.4868421052631579,<delaney>|Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34,<delaney>|CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23,-3.19,-4.553999999999999,1.3639999999999994,train,delaney
39,39,573,0.6226415094339622,<delaney>|Nc2cccc3nc1ccccc1cc23,<delaney>|c3ccc2nc1ccccc1cc2c3,-4.22,-3.67,-0.5499999999999998,train,delaney
40,40,418,0.6190476190476191,<delaney>|FC(F)(Cl)C(F)(F)Cl,<delaney>|FC(F)(Cl)C(F)(Cl)Cl,-2.74,-3.04,0.2999999999999998,train,delaney
41,41,572,0.3469387755102041,<delaney>|CC1(C)CON(Cc2ccccc2Cl)C1=O,<delaney>|Cc1ccccc1Cl,-2.338,-3.52,1.182,train,delaney
42,42,374,0.5384615384615384,<delaney>|c1ccc2ncccc2c1,<delaney>|c1ccc2cnccc2c1,-1.3,-1.45,0.1499999999999999,train,delaney
43,43,794,0.4666666666666667,<delaney>|CC(C)CO,<delaney>|ClCC(C)C,0.1,-2.0,2.1,train,delaney
44,44,482,0.6851851851851852,<delaney>|COCCCNc1nc(NC(C)C)nc(SC)n1,<delaney>|CCNc1nc(NC(C)C)nc(SC)n1,-2.928,-3.04,0.1120000000000001,train,delaney
45,45,818,0.7560975609756098,<delaney>|CCOc1ccc(NC(N)=O)cc1,<delaney>|CCOc1ccc(NC(=O)C)cc1,-2.17,-2.35,0.18000000000000016,train,delaney
46,46,315,0.76,<delaney>|CCCCCCCCBr,<delaney>|CCCCCCBr,-5.06,-3.81,-1.2499999999999996,train,delaney
47,47,853,0.8518518518518519,<delaney>|CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,<delaney>|CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.59,-3.68,0.0900000000000003,train,delaney
48,48,405,0.39285714285714285,<delaney>|COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,<delaney>|OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-2.596,-4.38,1.7839999999999998,train,delaney
49,49,722,0.675,<delaney>|COc2ncc1nccnc1n2,<delaney>|Cc2ncc1nccnc1n2,-1.11,-0.12,-0.9900000000000001,train,delaney
