,ID1,ID2,Similarity,comp1,comp2,comprop1,comprop2,prop,SET,data
0,0,447,0.5384615384615384,<freesolv>|c1ccc(cc1)F,<freesolv>|c1ccc(cc1)Br,-0.8,-1.46,0.6599999999999999,train,freesolv
1,1,439,0.43478260869565216,<freesolv>|CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,<freesolv>|CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-6.48,-5.04,-1.4400000000000004,train,freesolv
2,2,316,0.6176470588235294,<freesolv>|CN(C)C(=O)c1ccccc1,<freesolv>|CC(=O)c1ccccc1,-9.29,-4.58,-4.709999999999999,train,freesolv
3,3,252,0.4827586206896552,<freesolv>|Cc1ccncc1,<freesolv>|c1cnccc1C#N,-4.93,-6.02,1.0899999999999999,train,freesolv
4,4,283,0.5,<freesolv>|CC(C)OC(C)C,<freesolv>|CC(C)C(C)C,-0.53,2.34,-2.87,train,freesolv
5,5,272,0.875,<freesolv>|CCCCCC(=O)C,<freesolv>|CCCCCCC(=O)C,-3.04,-2.88,-0.16000000000000014,train,freesolv
6,6,140,0.65,<freesolv>|CCCC(=O)O,<freesolv>|CCCCC(=O)O,-6.35,-6.16,-0.1899999999999995,train,freesolv
7,7,506,0.4444444444444444,<freesolv>|CC(=O)OCC(COC(=O)C)OC(=O)C,<freesolv>|CC(=O)OCCOC(=O)C,-8.84,-6.34,-2.5,train,freesolv
8,8,308,0.5645161290322581,<freesolv>|C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,<freesolv>|C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.82,-3.44,-1.3800000000000003,train,freesolv
9,9,86,0.4666666666666667,<freesolv>|CCC#N,<freesolv>|CCCC#N,-3.84,-3.64,-0.19999999999999973,train,freesolv
10,10,423,0.38461538461538464,<freesolv>|C=CCCl,<freesolv>|C=CCO,-0.57,-5.03,4.46,train,freesolv
11,11,411,0.4166666666666667,<freesolv>|C[C@H](CC(C)C)O,<freesolv>|CC[C@H](C(C)C)O,-3.73,-3.88,0.1499999999999999,train,freesolv
12,12,485,0.6363636363636364,<freesolv>|COC(=O)c1ccc(cc1)[N+](=O)[O-],<freesolv>|CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,-11.95,5.069999999999999,train,freesolv
13,13,471,0.53125,<freesolv>|Cc1ccc(cc1)C(C)C,<freesolv>|Cc1ccc(cc1)N,-0.68,-5.57,4.890000000000001,train,freesolv
14,14,130,0.38461538461538464,<freesolv>|C(CO)O,<freesolv>|CCCO,-9.3,-4.85,-4.450000000000001,train,freesolv
15,15,179,0.23255813953488372,<freesolv>|C1=CC(=O)C=CC1=O,<freesolv>|c1ccc2c(c1)C(=O)NC2=O,-6.5,-9.61,3.1099999999999994,train,freesolv
16,16,486,0.45454545454545453,<freesolv>|CC(C)I,<freesolv>|CC(C)Br,-0.46,-0.48,0.019999999999999962,train,freesolv
17,17,49,0.6857142857142857,<freesolv>|C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],<freesolv>|C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.29,-4.95,0.6600000000000001,train,freesolv
18,18,63,0.6111111111111112,<freesolv>|COc1cccc(c1O)OC,<freesolv>|COc1ccccc1OC,-6.96,-5.33,-1.63,train,freesolv
19,19,402,0.6,<freesolv>|Cc1cccc(c1C)O,<freesolv>|Cc1cccc(c1C)C,-6.16,-1.21,-4.95,train,freesolv
20,20,504,0.5714285714285714,<freesolv>|Cc1ccccc1N,<freesolv>|Cc1ccccc1Cl,-5.53,-1.14,-4.390000000000001,train,freesolv
21,21,324,0.2,<freesolv>|C=O,<freesolv>|C=C,-2.75,1.28,-4.03,train,freesolv
22,22,503,0.4666666666666667,<freesolv>|CC(C)C(=O)C(C)C,<freesolv>|CC(C)COC(=O)C(C)C,-2.74,-1.69,-1.0500000000000003,train,freesolv
23,23,375,0.8333333333333334,<freesolv>|C1CCOCC1,<freesolv>|C1CCOC1,-3.12,-3.47,0.3500000000000001,train,freesolv
24,24,410,0.5714285714285714,<freesolv>|CCCBr,<freesolv>|CCCCBr,-0.56,-0.4,-0.16000000000000003,train,freesolv
25,25,123,0.7142857142857143,<freesolv>|CCCCOC(=O)c1ccc(cc1)O,<freesolv>|CCOC(=O)c1ccc(cc1)O,-8.72,-9.2,0.47999999999999865,train,freesolv
26,26,33,0.3333333333333333,<freesolv>|c1ccccc1,<freesolv>|c1ccncc1,-0.9,-4.69,3.7900000000000005,train,freesolv
