,ID1,ID2,Similarity,comp1,comp2,comprop1,comprop2,prop,SET,data
0,0,688,0.391304347826087,<lipo>|CNC(=O)c1cc(C(=O)c2ccc(Cl)cc2)c(Br)[nH]1,<lipo>|Cc1oc(cc1C(=O)O)c2ccc(Cl)cc2,3.1,1.67,1.4300000000000002,train,lipo
1,1,3223,0.8504672897196262,<lipo>|Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4ccc(F)cc4)c1,<lipo>|Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4cccc(F)c4)c1,3.2,3.15,0.050000000000000266,train,lipo
2,2,545,0.42105263157894735,<lipo>|NC(=NC#N)c1sc(Nc2ccccc2)nc1N,<lipo>|NC(=O)c1sc2nccc(Nc3ccccc3)c2c1N,2.91,2.91,0.0,train,lipo
3,3,2497,0.925531914893617,<lipo>|CN(C)CCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1,<lipo>|CN(C)CCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1,2.7,1.9,0.8000000000000003,train,lipo
4,4,3094,0.6578947368421053,<lipo>|Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)C4=CNC(=O)c5ccccc45)cc1Cl,<lipo>|OC(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,3.51,1.23,2.28,train,lipo
5,5,425,0.6956521739130435,<lipo>|Oc1oc(c2ccccc2)c(n1)c3ccccc3,<lipo>|OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3,3.42,1.2,2.2199999999999998,train,lipo
6,6,2983,1.0,<lipo>|C[C@@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N,<lipo>|C[C@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N,3.1,3.5,-0.3999999999999999,train,lipo
7,7,422,0.8461538461538461,<lipo>|CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)c(F)c(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,<lipo>|CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,2.55,2.2,0.34999999999999964,train,lipo
8,8,2590,0.47107438016528924,<lipo>|CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3cccc4ccccc34)[C@@H]12)C(C)(C)C,<lipo>|CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(C1)S(=O)(=O)c2ccccc2)C(C)(C)C,1.94,0.9,1.04,train,lipo
9,9,1843,0.7763157894736842,<lipo>|Cc1c(Oc2ccc(Cl)cc2)c3cc(F)ccc3n1CC(=O)O,<lipo>|Cc1c(Oc2ccc(Cl)cc2)c3cc(ccc3n1CC(=O)O)C(F)(F)F,1.26,2.28,-1.0199999999999998,train,lipo
