,ID1,ID2,Similarity,comp1,comp2,prop
0,0,3,1.0,CC/C=C\C,CC/C=C/C,0.0
1,1,72,0.5,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-0.04300000000000015
2,2,72,0.18333333333333332,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-0.274
3,3,15,0.19230769230769232,CC/C=C/C,CCCC(=O)OC,-0.6200000000000001
4,4,91,0.2542372881355932,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,Clc1ccc(Cl)c(Cl)c1,-3.6100000000000003
5,5,37,0.4827586206896552,O=Cc1ccccc1,c1ccccc1O,-1.19
6,6,9,0.2222222222222222,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O,CON(C)C(=O)Nc1ccc(Cl)cc1,-1.7440000000000002
7,7,14,0.4807692307692308,ON=Cc1ccc(o1)N(=O)=O,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,1.19
8,8,25,0.45454545454545453,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,-0.4500000000000002
9,9,98,0.4166666666666667,CON(C)C(=O)Nc1ccc(Cl)cc1,CC(=O)Nc1ccc(F)cc1,-0.7899999999999998
10,10,38,0.782608695652174,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-0.40000000000000036
11,11,106,0.2641509433962264,COP(=O)(NC(C)=O)SC,CNC(=O)C(C)SCCSP(=O)(OC)(OC),-0.6039999999999999
12,12,85,0.2972972972972973,Cc1cc(C)cc(C)c1,Cc1ccc(O)cc1C,-2.02
13,13,20,0.1836734693877551,ClCC(Cl)(Cl)Cl,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,-0.3400000000000001
14,14,61,0.20512820512820512,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-1.0579999999999998
15,15,94,0.5,CCCC(=O)OC,CCCOC(=O)CCC,-0.16999999999999993
16,16,23,0.45,CNC(=O)Oc1ccccc1OC(C)C,CNC(=O)Oc1ccccc1C2OCCO2,-0.47999999999999976
17,17,82,0.2839506172839506,CCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCO,-5.324
18,18,53,0.55,C1CCc2ccccc2C1,Oc2ccc1CCCCc1c2,-2.38
19,19,45,0.35555555555555557,CC(C)c1ccccc1C,Cc1cc2ccccc2cc1C,0.96
20,20,28,0.15294117647058825,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-0.6100000000000001
21,21,45,0.46153846153846156,c1ccc2cc3ccccc3cc2c1,Cc1cc2ccccc2cc1C,-1.63
22,22,54,0.1875,OCC(O)C(O)CO,CCC(CC)CO,1.8699999999999999
23,23,58,0.25757575757575757,CNC(=O)Oc1ccccc1C2OCCO2,CCOC(=O)C=Cc1ccccc1,1.43
24,24,37,0.3055555555555556,Oc1ccc(cc1)N(=O)=O,c1ccccc1O,-0.74
25,25,91,0.34615384615384615,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,Clc1ccc(Cl)c(Cl)c1,-3.62
26,26,52,0.48,CCCOC=O,CC(C)CCOC=O,1.03
27,27,52,0.38461538461538464,CC(C)OC=O,CC(C)CCOC=O,0.89
28,28,99,0.19008264462809918,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.8200000000000001
29,29,40,0.23076923076923078,ClC(Br)Br,ClC(Cl)Cl,-0.73
30,30,107,0.24,CCSCC,CCCC(O)CC,-0.54
31,31,44,0.5405405405405406,c1ccc2c(c1)c3ccccc3c4ccccc24,c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,1.0739999999999998
32,32,50,0.5652173913043478,CCCC(C)C,CCCCCC(C)C,1.3399999999999999
33,33,91,0.6,Oc1ccc(Cl)cc1Cl,Clc1ccc(Cl)c(Cl)c1,2.04
34,34,37,0.5384615384615384,Brc1ccccc1,c1ccccc1O,-2.55
35,35,94,0.3783783783783784,CCCCC(=O)CCCC,CCCOC(=O)CCC,-0.8300000000000001
36,36,103,0.5714285714285714,Brc1ccc(I)cc1,Cc1ccc(Br)cc1,-1.3699999999999997
37,37,96,0.5,c1ccccc1O,NC(=O)c1ccccc1,0.96
38,38,92,0.675,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,0.6100000000000003
39,39,49,0.5833333333333334,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1.1269999999999998
40,40,101,0.1111111111111111,ClC(Cl)Cl,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl,1.5100000000000002
41,41,59,0.7159090909090909,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-1.7260000000000009
42,42,64,0.45121951219512196,CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23,CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23,-0.09299999999999997
43,43,83,0.2,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-1.6339999999999995
